i;r;s;tx;trm;tm
its;noa;oce;0.0;0.0;0.0
its;noa;row;0.0;0.0;0.0
its;noa;rus;0.0;0.0;0.0
its;noa;soa;0.0;0.0;0.0
its;oce;Unnamed: 10;0.0;0.0;0.0
its;oce;afr;0.0;0.0;0.0
its;oce;asia;0.0;0.0;0.0
its;oce;cis;0.0;0.0;0.0
its;oce;eur;0.0;0.0;0.0
its;oce;noa;0.0;0.0;0.0
its;oce;oce;0.0;0.0;0.0
its;oce;row;0.0;0.0;0.0
its;oce;rus;0.0;0.0;0.0
its;oce;soa;0.0;0.0;0.0
its;row;Unnamed: 10;0.0;0.0;0.0
its;row;afr;0.0;0.0;0.0
its;row;asia;0.0;0.0;0.0
its;row;cis;0.0;0.0;0.0
its;row;eur;0.0;0.0;0.0
its;row;noa;0.0;0.0;0.0
its;row;oce;0.0;0.0;0.0
its;row;row;0.0;0.0;0.0
its;row;rus;0.0;0.0;0.0
its;row;soa;0.0;0.0;0.0
its;rus;Unnamed: 10;0.0;0.0;0.0
its;rus;afr;0.0;0.0;0.0
its;rus;asia;0.0;0.0;0.0
its;rus;cis;0.0;0.0;0.0
its;rus;eur;0.0;0.0;0.0
its;rus;noa;0.0;0.0;0.0
its;rus;oce;0.0;0.0;0.0
its;rus;row;0.0;0.0;0.0
its;rus;rus;0.0;0.0;0.0
its;rus;soa;0.0;0.0;0.0
its;soa;Unnamed: 10;0.0;0.0;0.0
its;soa;afr;0.0;0.0;0.0
its;soa;asia;0.0;0.0;0.0
its;soa;cis;0.0;0.0;0.0
its;soa;eur;0.0;0.0;0.0
its;soa;noa;0.0;0.0;0.0
its;soa;oce;0.0;0.0;0.0
its;soa;row;0.0;0.0;0.0
its;soa;rus;0.0;0.0;0.0
its;soa;soa;0.0;0.0;0.0
man;Unnamed: 10;afr;0.0;0.0;0.0
man;Unnamed: 10;asia;0.0;0.0;0.0
man;Unnamed: 10;cis;0.0;0.0;0.0
man;Unnamed: 10;eur;0.0;0.0;0.0
man;Unnamed: 10;noa;0.0;0.0;0.0
man;Unnamed: 10;oce;0.0;0.0;0.0
man;Unnamed: 10;row;0.0;0.0;0.0
man;Unnamed: 10;rus;0.0;0.0;0.0
man;Unnamed: 10;soa;0.0;0.0;0.0
man;afr;Unnamed: 10;0.0;0.0;0.0
man;afr;afr;0.028770906858984195;0.056473264225520174;0.044047577030318
man;afr;asia;0.02503008790237809;0.005712105899371817;0.030689096924051525
man;afr;cis;0.008452346254736228;0.0025867052023121387;0.028017241379310345
man;afr;eur;0.0054043295875562634;0.01405998588925604;0.003702302763545499
man;afr;noa;0.0039056187038732965;0.01679590029781868;0.016772962386380756
man;afr;oce;0.000280662363177098;0.014927048260381595;0.06543723973825104
man;afr;row;0.0018613485280151946;0.02271176158337757;0.02127409956591451
man;afr;rus;0.0971518434387559;0.00358337314859054;0.049429657794676805
man;afr;soa;0.010283925776883524;0.012613410046470458;0.04043188605559384
man;asia;Unnamed: 10;0.0;0.0;0.0
man;asia;afr;0.011266643905769888;0.22347352175171217;0.11806137770641202
man;asia;asia;0.011382254993767481;0.03557623443769683;0.03155653871629628
man;asia;cis;0.014923003651373234;0.1360863444392304;0.07992801185687064
man;asia;eur;0.0008694516770739726;0.045663347919042405;0.029252941189456975
man;asia;noa;0.0039015047161766827;0.09971198728771477;0.027231661820879792
man;asia;oce;-0.00042693640289659927;0.09718594450741708;0.033656833541526536
man;asia;row;0.0006751282743721307;0.07243961678585886;0.07946377370875425
man;asia;rus;0.09390148326608806;0.09074988059226238;0.08149295085975063
man;asia;soa;0.00851505104648955;0.08968863142650253;0.09813552351881563
man;cis;Unnamed: 10;0.0;0.0;0.0
man;cis;afr;0.008869179600886918;0.44395604395604393;0.05079191698525396
